town,state,sentiment_score,number_of_posts,satisfaction_score,star_fill,x,y,score_valid
Tullahoma, TN,0.251530392,102,3.0,0.0,4,1,1
Tullahoma, TN,0.251530392,102,3.0,0,5,1,1
Garrettsville, OH,-0.2787,2,1.8,100,1,1,1
Garrettsville, OH,-0.2787,2,1.8,80.0,2,1,1
Garrettsville, OH,-0.2787,2,1.8,0,3,1,1
Garrettsville, OH,-0.2787,2,1.8,0,4,1,1
Garrettsville, OH,-0.2787,2,1.8,0,5,1,1
Irvington, KY,0.263317177,2515,3.0,100,1,1,1
Irvington, KY,0.263317177,2515,3.0,100,2,1,1
Irvington, KY,0.263317177,2515,3.0,100,3,1,1
Irvington, KY,0.263317177,2515,3.0,0.0,4,1,1
Irvington, KY,0.263317177,2515,3.0,0,5,1,1
Woodland Hills, UT,0.377794349,407,3.3,100,1,1,1
Woodland Hills, UT,0.377794349,407,3.3,100,2,1,1
Woodland Hills, UT,0.377794349,407,3.3,100,3,1,1
Woodland Hills, UT,0.377794349,407,3.3,29.999999999999982,4,1,1
Woodland Hills, UT,0.377794349,407,3.3,0,5,1,1
Fallston, MD,0.31022,200,3.1,100,1,1,1
Fallston, MD,0.31022,200,3.1,100,2,1,1
Fallston, MD,0.31022,200,3.1,100,3,1,1
Fallston, MD,0.31022,200,3.1,10.000000000000009,4,1,1
Fallston, MD,0.31022,200,3.1,0,5,1,1
Palm Springs, CA,0.1773348,2477,2.8,100,1,1,1
Palm Springs, CA,0.1773348,2477,2.8,100,2,1,1
Palm Springs, CA,0.1773348,2477,2.8,79.99999999999999,3,1,1
Palm Springs, CA,0.1773348,2477,2.8,0,4,1,1
Palm Springs, CA,0.1773348,2477,2.8,0,5,1,1
Alburtis, PA,0.23562449,196,3.0,100,1,1,1
Alburtis, PA,0.23562449,196,3.0,100,2,1,1
Alburtis, PA,0.23562449,196,3.0,100,3,1,1
Alburtis, PA,0.23562449,196,3.0,0.0,4,1,1
Alburtis, PA,0.23562449,196,3.0,0,5,1,1
Watkinsville, GA,0.359678299,1023,3.2,100,1,1,1
